country_name,year,sex,population,Acute drug-induced interstitial lung disorders,Acute pulmonary manifestations due to radiation,Acute upper respiratory infections,Alveolar and parietoalveolar conditions,Asthma,Bronchiectasis,"Bronchopneumonia, unspecified",Chronic and other pulmonary manifestations due to radiation,Chronic drug-induced interstitial lung disorders,Chronic obstructive pulmonary disease (COPD),Chylous effusion,"Disease of upper respiratory tract, unspecified",Diseases of pleura,"Drug-induced interstitial lung disorders, unspecified",Fibrothorax,Hemothorax,"Hypostatic pneumonia, unspecified",Influenza and pneumonia,"Interstitial pulmonary disease, unspecified",Interstitial respiratory diseases,"Lobar pneumonia, unspecified",Lung cancer,Lung cancer (WHO list code),Lung diseases due to external agents,Other abscess of pharynx,Other acute lower respiratory infections,Other diseases of pharynx,Other diseases of the respiratory system,Other diseases of upper respiratory tract,Other interstitial pulmonary diseases with fibrosis,"Other pneumonia, organism unspecified",Other specified diseases of upper respiratory tract,Other specified interstitial pulmonary diseases,Other specified pleural conditions,"Pleural condition, unspecified","Pneumonia, unspecified",Pyothorax with fistula,Pyothorax without fistula,Respiratory conditions due to other specified external agents,Respiratory conditions due to unspecified external agent,Respiratory diseases (WHO list code),Retropharyngeal and parapharyngeal abscess,Suppurative and necrotic conditions of lower respiratory tract,"Upper respiratory tract hypersensitivity reaction, site unspecified"
Romania,2007,2,22081686.0,0.0,0.0,0.0452863970622531,0.0090572794124506,1.6665394118909211,0.0815155147120559,12.86133676567994,0.0,0.0,16.592935883609613,0.0,0.0,0.1449164705992104,0.0,0.0,0.0090572794124506,0.0362291176498026,0.5253222059221379,0.5162649265096878,2.427350882536777,0.1630310294241119,0.0,0.0,0.41663485297272984,0.0,0.208317426486365,0.0,0.3804057353229275,0.0181145588249012,0.1811455882490132,0.0815155147120559,0.0,0.0271718382373519,0.0271718382373519,0.1177446323618586,5.87817433868048,0.0452863970622533,0.0543436764747039,0.0,0.0362291176498026,0.0,0.0,0.28983294119842096,0.0
Romania,2007,3,43075126.0,0.0095267855101403,0.0,0.055728471650501495,0.0090572794124506,1.625067794346092,0.1160762710247208,16.752127434287715,0.0,0.0,25.54096503174052,0.0381071420405612,0.0,0.2361328491991206,0.0,0.0190535710202806,0.0092861016819776,0.0417874575688995,0.6749390202991546,0.5432369483956936,2.5673782927972986,0.2553677962543859,0.0571607130608418,0.0,0.5110237225714764,0.0095267855101403,0.24608169457240803,0.0,0.413953576332494,0.0181145588249012,0.3110844063462519,0.1810789827985645,0.0,0.0371444067279106,0.0271718382373519,0.1439345760706538,7.591388125016743,0.0650027117738436,0.055716610091866,0.0,0.0510735592508771,0.0,0.0,0.8311061005370012,0.0
Romania,2008,1,20955222.0,0.0,0.0,0.0381766416027468,0.0095441604006867,1.507977343308508,0.0954416040068676,20.138178445449064,0.0095441604006867,0.0,35.23704019933551,0.0286324812020602,0.0,0.2672364912192292,0.0,0.0095441604006867,0.0572649624041205,0.0286324812020602,0.6776353884487595,0.5058405012363982,2.8059831578019074,0.4199430576302174,0.0858974436061808,0.0,0.3149572932226627,0.0190883208013735,0.0668091228048073,0.0,0.2767806516199157,0.0286324812020601,0.6680912280480731,0.1813390476130484,0.0,0.0954416040068676,0.0477208020034338,0.276780651619916,9.98319177911835,0.1336182456096146,0.1336182456096146,0.0,0.0095441604006867,0.0,0.0,1.307549974894086,0.0
Romania,2008,2,22053662.0,0.0,0.0,0.0,0.0181375773329617,1.4237998206374978,0.0181375773329617,11.834769209757546,0.0,0.0,16.18778776966837,0.0181375773329617,0.0,0.1723069846631365,0.0,0.0090687886664808,0.0,0.1088254639977705,0.39902670132515816,0.3718203353257159,2.294403532619662,0.1904445619960984,0.0181375773329617,0.0,0.126963041330732,0.0,0.054412731998885105,0.0,0.2448572939949834,0.0090687886664808,0.1723069846631366,0.0997566753312896,0.0,0.0453439433324043,0.0453439433324043,0.1178942526642514,5.740543225882395,0.0544127319988852,0.0272063659994426,0.0,0.0181375773329617,0.0,0.0,0.20858213932906,0.0
Romania,2008,3,43008884.0,0.0,0.0,0.0381766416027468,0.0139506061119837,1.4843894752117286,0.0558024244479349,15.880439957474833,0.0095441604006867,0.0,25.497569565156734,0.0232510101866395,0.0,0.2283474124811295,0.0,0.0093004040746558,0.0572649624041205,0.0697530305599187,0.6028132796455277,0.4371189915088241,2.54366051441837,0.3022631324263145,0.051152222410607,0.0,0.3492702563624825,0.0190883208013735,0.0746591298411334,0.0,0.27461781744623354,0.0377012698685409,0.4138679813221845,0.1395060611198374,0.0,0.0697530305599187,0.0465020203732791,0.1953084855677724,7.80768922067357,0.0930040407465583,0.0790534346345745,0.0,0.0139506061119837,0.0,0.0,0.7782900345159783,0.0
Romania,2009,1,20914438.0,0.0,0.0,0.0382510875979549,0.0,1.6447967667120673,0.162567122291309,21.162414213568635,0.0,0.0,36.242905499062424,0.038251087597955,0.0,0.4877013668739266,0.0,0.0095627718994887,0.038251087597955,0.1051904908943764,0.7363334362606341,0.5546407701703484,3.32784462102209,0.3729481040800618,0.0669394032964213,0.0,0.4590130511754605,0.0,0.08606494709539861,0.0,0.918026102350921,0.0286883156984661,0.5450779982708596,0.2486320693867078,0.0,0.3060087007836404,0.038251087597955,0.1721298941907977,9.476706952393366,0.0765021751959101,0.0573766313969325,0.0,0.0191255437989775,0.0,0.0095627718994887,1.2718486626320058,0.0
Romania,2009,2,22025480.0,0.0,0.0,0.027241177036777198,0.0181607846911849,1.2984961054197226,0.0544823540735548,12.676227714447084,0.0,0.0,16.980333686257918,0.0454019617279623,0.0,0.2088490239486267,0.0,0.0090803923455924,0.0181607846911849,0.118045100492702,0.5629843254267323,0.4176980478972535,2.333660832817265,0.1997686316030343,0.0,0.0,0.1816078469118491,0.0,0.1089647081471095,0.0,0.4903411866619931,0.0,0.1816078469118493,0.1816078469118493,0.0,0.1634470622206644,0.0635627464191472,0.1543666698750719,5.502717761429036,0.0090803923455924,0.0363215693823698,0.0,0.0090803923455924,0.0,0.0,0.33597451678692114,0.0
Romania,2009,3,42939918.0,0.0,0.0,0.0326036952376107,0.0181607846911849,1.4720713868437465,0.1071264272092927,16.809533730362503,0.0,0.0,26.37713173843625,0.041919036734071,0.0,0.3790033434278391,0.0,0.0093153414964602,0.0279460244893807,0.1117840979575228,0.6994428284522459,0.4843977578159325,2.8178908026792224,0.2841179156420373,0.0669394032964213,0.0,0.34566983823330344,0.0,0.1115616300588156,0.0,0.7231761179908108,0.0286883156984661,0.3586406476137193,0.2142528544185855,0.0,0.232883537411506,0.0512343782305313,0.1630184761880542,7.438300184923502,0.041919036734071,0.0465767074823012,0.0,0.0139730122446903,0.0,0.0095627718994887,0.8016142295016376,0.0
Romania,2010,1,20868286.0,0.0,0.0,0.0191678415754892,0.0,1.3609167518597358,0.1437588118161692,22.023849970237134,0.0,0.0,35.79594414222615,0.0095839207877446,0.0,0.2971015444200831,0.0,0.0095839207877446,0.0383356831509784,0.0670874455142123,0.7187940590808459,0.4600281978117417,3.6898095032816784,0.2491819404813601,0.0575035247264677,0.0,0.4600281978117414,0.0095839207877446,0.08625528708970151,0.0,1.150070494529354,0.0,0.4983638809627202,0.3737729107220401,0.0,0.3354372275710616,0.0383356831509784,0.2395980196936154,8.002573857766757,0.0383356831509784,0.0670874455142123,0.0,0.0,0.0,0.0095839207877446,1.0733991282273971,0.0
Romania,2010,2,21994310.0,0.0,0.0,0.0181865218777038,0.0,1.5731341424213805,0.0181865218777038,12.475954008104823,0.0,0.0,16.640667518099,0.0363730437554076,0.0090932609388519,0.2273315234712977,0.0,0.0090932609388519,0.0090932609388519,0.0545595656331114,0.4182900031871876,0.3910102203706321,2.791631108227537,0.1182123922050748,0.0272797828165557,0.0,0.1818652187770381,0.0,0.1000258703273709,0.0,0.6456215266584857,0.0181865218777038,0.3455439156763726,0.1818652187770382,0.0,0.1545854359604825,0.0181865218777038,0.1182123922050748,5.401396997678036,0.0181865218777038,0.0454663046942595,0.0,0.0,0.0,0.0,0.4455697860037436,0.0
