country_code,country_name,time,year,month,tp,uvb,cp,lsp,ssrd,i10fg,u10,v10,d2m,t2m,msl,sp,skt,number
MDA,Moldova,2021-09-01,2021,9,0.000663122100926176,1456786.669243644,0.0004103191645351612,0.0002528039389302926,13341086.509365993,5.89639881691864,0.9277820511262793,-1.001236964594414,281.5997884379333,288.03103848013404,101859.29799754037,100162.98467381603,288.4246557623609,0
MDA,Moldova,2021-10-01,2021,10,0.00023145205126084872,998821.5148730242,6.742687393150986e-05,0.00016408625097950026,9482860.665446805,5.510544984785381,-0.36617241777158727,-0.3586141675545694,275.5155480321716,282.4071055749684,102493.6913936835,100759.62268951425,282.3782058403415,0
MDA,Moldova,2021-11-01,2021,11,0.0007504678352391426,525463.0875467395,0.0002633065562713717,0.00048717049096137484,4999973.098043635,5.916938011511267,0.16189080600437644,0.6340348215136633,276.14071486429896,279.5403330465425,101876.42569996508,100132.69221666508,278.9964867548208,0
MDA,Moldova,2021-12-01,2021,12,0.002392155281879539,324675.5300130964,0.0004896706330580948,0.0019026406188674357,2893081.3207325586,6.731132571377641,0.8172815805459124,-0.6995949147806074,271.6309983902766,273.8439970738452,101491.32580078777,99714.07958639054,273.4410756923071,0
MDA,Moldova,2022-01-01,2022,1,0.000589187493256372,478847.8024865524,0.0001679865709748714,0.0004212841915182209,4595535.757688407,8.131035300858306,2.3576449331170037,-1.3911441212627362,269.2458517095939,273.3466287247906,101721.07790685822,99939.1441484973,272.8378936292655,0
MDA,Moldova,2022-02-01,2022,2,0.00038741793863094357,834325.7279624646,9.956216147642542e-05,0.00028773361106826,8029951.192227955,6.334437998773158,1.0360707296721345,-0.3212603689521802,271.1259745116683,276.49019562123436,101756.67527284114,99996.36268598912,275.47183207394045,0
MDA,Moldova,2022-03-01,2022,3,0.0005020032363553224,1401483.6654186412,0.00012324629185571972,0.00037864219665191,13378245.035925806,6.713089262836086,0.7008174099182048,-2.125182985312451,268.00899695415296,276.18004068776776,102469.99584611159,100693.42125797717,275.6195005769079,0
MDA,Moldova,2022-04-01,2022,4,0.0021148842148819395,1791109.0222788942,0.001036044672037315,0.001079010446470095,16262284.968022877,7.367697819770063,1.077365488965461,-0.7767166825641308,275.9022439778012,283.528942931356,101196.15146215264,99481.99355331303,283.6384904983295,0
MDA,Moldova,2022-05-01,2022,5,0.0008501199046966758,2374905.373201928,0.0006040383054097873,0.0002461575227855426,21629090.750397652,6.183208358338362,0.7325191978800384,-0.732063991617942,279.2763563607255,289.6382933123742,101707.94603872349,100020.1818929583,290.42817814148725,0
MDA,Moldova,2022-06-01,2022,6,0.0008142372045970598,2469119.6722434685,0.0007643843816406957,4.974451296027602e-05,21926462.61029727,6.242142701372224,0.06725218013191127,-1.5193529886634436,285.51380024118566,294.9161804529223,101454.00406029375,99788.26725885962,295.84360620565445,0
